Date,Open,High,Low,Close
2026-09-14 09:00:00,100.0,105.9668,97.2044,103.3307
2026-09-14 10:00:00,103.3307,105.2796,85.9874,88.4698
2026-09-14 11:00:00,88.4698,99.628,88.4644,97.8775
2026-09-14 12:00:00,97.8775,101.8053,81.4218,82.7872
2026-09-14 13:00:00,82.7872,97.192,82.1503,96.2652
2026-09-14 14:00:00,96.2652,99.5142,86.7682,88.6835
2026-09-14 15:00:00,88.6835,89.2397,84.9829,86.4139
2026-09-14 16:00:00,86.4139,87.0291,77.1461,78.4793
2026-09-14 17:00:00,78.4793,79.5111,76.5999,76.981
2026-09-15 09:00:00,76.981,77.0993,69.7513,70.7137
2026-09-15 10:00:00,70.7137,74.5327,67.8955,72.3207
2026-09-15 11:00:00,72.3207,74.4727,58.3367,60.4256
2026-09-15 12:00:00,60.4256,62.4355,58.1863,60.6396
2026-09-15 13:00:00,60.6396,60.6772,59.2342,59.6181
2026-09-15 14:00:00,59.6181,70.7711,59.6068,69.5839
2026-09-15 15:00:00,69.5839,87.5145,68.811,83.8844
2026-09-15 16:00:00,83.8844,86.5804,69.5347,70.3184
2026-09-15 17:00:00,70.3184,78.7413,68.4372,77.6672
2026-09-16 09:00:00,77.6672,78.2376,76.1272,76.7744
2026-09-16 10:00:00,76.7744,82.0477,75.9344,81.5205
2026-09-16 11:00:00,81.5205,92.4947,78.5847,88.9354
2026-09-16 12:00:00,88.9354,103.3726,88.8165,100.5246
2026-09-16 13:00:00,100.5246,104.5241,99.3312,101.0802
2026-09-16 14:00:00,101.0802,106.3525,99.7826,103.7735
2026-09-16 15:00:00,103.7735,119.0977,102.0268,118.7024
2026-09-16 16:00:00,118.7024,132.3705,113.8936,128.1728
2026-09-16 17:00:00,128.1728,130.5518,111.6057,112.3808
2026-09-17 09:00:00,112.3808,120.5955,112.2043,117.5783
2026-09-17 10:00:00,117.5783,131.0648,113.5151,130.318
2026-09-17 11:00:00,130.318,131.7175,117.8265,122.1853
2026-09-17 12:00:00,122.1853,127.5447,112.8915,113.3593
2026-09-17 13:00:00,113.3593,114.9583,93.352,97.5848
2026-09-17 14:00:00,97.5848,99.0749,89.1877,89.2903
2026-09-17 15:00:00,89.2903,97.0553,87.3595,94.2088
2026-09-17 16:00:00,94.2088,106.5964,91.7177,104.6822
2026-09-17 17:00:00,104.6822,108.2245,99.1041,101.1833
2026-09-18 09:00:00,101.1833,113.186,96.9451,108.9297
2026-09-18 10:00:00,108.9297,111.9993,91.2653,92.2707
2026-09-18 11:00:00,92.2707,92.3397,76.2119,77.1787
2026-09-18 12:00:00,77.1787,80.469,71.4557,74.2391
2026-09-18 13:00:00,74.2391,91.1573,73.7357,88.6526
2026-09-18 14:00:00,88.6526,98.3509,86.4335,96.1151
2026-09-18 15:00:00,96.1151,114.4002,95.7972,111.7293
2026-09-18 16:00:00,111.7293,114.2377,104.8319,109.525
2026-09-18 17:00:00,109.525,111.9206,104.5335,106.7513
